Food item,GTIN/UPC of TJs,Price at TJs ($),Quantity ,Unit,Brand/Type at TJs,GTIN/UPC of Safeway,Price at Safeway ($),Quantity,Unit,Brand/Type at Safeway,GTIN/UPC of Berkeley Bowl,Price at Berkeley Bowl ($),Quantity,Unit,Brand/Type at Berkeley Bowl,GTIN/UPC of Whole Foods,Price at Whole Foods ($),Quantity,Unit,Brand/Type at Whole Foods
Cheese,227870903297,4.29,16.00,oz,WISCONSIN SHARP CHEDDAR CHEESE,021130043026,9.99,32,oz,Lucerne Cheese Shredded Low-Moisture Part-Skim Mozzarella,026542821026,8.79,1,lb,American Cheese (Sliced),828653282457,5.99,6,oz,CHEESE SLICED MEDIUM CHEDDAR SHINGLE
Cereal,00946629,2.49,15.00,oz,CORN CEREAL,021130152858,3.99,10.8,oz,Cheerios Honey Nut Cereal Whole Grain Oat Sweetened Real Honey,00016000150195,8.79,12,oz,General Mills Kix Cereal,018627742005,5.49,13.1,oz, GoLean Cereal - orginal
Kale,021130284986,3.49,10.00,oz,Organic Shredded Kale,021130284986,3.49,1,lb,Organic green kale,681131098984	,1.59,1,lb,Green Kale,028764001613,2.99,1,lb,Organic Red Kale
Quinoa,030034934811,3.99,16.00,oz ,Organic White Quinoa,021130503292,24.99,64,oz,Organic quinoa,07203672172,4.19,1,lb,Tricolor Quinoa,030034934811,5.99,16,oz,Organic White Quinoa
Onion,688267033292,0.99,8.00,oz,Yellow Onions,688267083532,1.49,8,oz,yellow onion,021130480692	,1.59,1,lb,Medium Yellow Onions,688267083532,1.99,1,lb,Yellow Onion
Sugar,00592277,3.99,2.00,lb,Organic Cane Sugar,021130250080,5.99,4,lb,C&H Sugar Granulated White Pure Cane,08578068,7.69,4,lb,C&H Pure Cane Baker's Sugar Ultrafine Granulated Cane Sugar,099482424121,5.49,64,oz,Cane Sugar - 365 by Whole Foods
Bagels,857176008121	,2.49,18.00,oz,Plain Bagels,021130323111,2.99,18,oz,Signature SELECT bagels plain,813238000106,6.19,6,pk,Sara Lee Plain Deluxe Bagel,813238000106,4.99,18,oz,Organic Bagels Plain
Avocado,071117172539	,3.49,7.60,oz,TJs Avocados,873668002439,2.00,7.6,oz,medium Hass avocado,4099100005783	,1.59,7.6,oz,Medium Mexico Hass Avocados,873668002439,2.99,7.6,oz,Del Rey Avocados
Coffee ,850352005785,4.99,14.00,oz,Joe Medium Roast Ground Coffee,850352005785,9.99,10,oz,O Organics Coffee Ground Dark Roast French Roast,011141102508,9.49,10,oz,Jeremiah's Pick Coffee Kona Blend Ground Coffee,0071403000010,11.89,10.5,oz,Ground Coffee Colombia
Chicken Meatball,850002282177,3.99,12.00,oz,Chicken Meatballs,0810882011434,16.89,18,oz,"Kidfresh Chicken Meatball, 1645 Ounce",764014888084,8.79,12,oz,Aidells Teriyaki Chicken Meatballs,0810882011434,5.39,10,oz,Chicken Meatballs
